Participant,Item,Regress,Prime,Target
32,6,1,Negative,Negative
32,7,0,Negative,Positive
32,8,1,Positive,Positive
32,9,0,Positive,Negative
32,10,0,Negative,Negative
32,11,0,Negative,Positive
32,12,0,Positive,Positive
32,13,1,Positive,Negative
32,14,0,Negative,Negative
32,15,1,Negative,Positive
32,16,0,Positive,Positive
32,17,1,Positive,Negative
32,18,1,Negative,Negative
32,19,0,Negative,Positive
32,20,1,Positive,Positive
32,21,1,Positive,Negative
32,22,0,Negative,Negative
32,23,1,Negative,Positive
32,24,1,Positive,Positive
32,25,1,Positive,Negative
32,26,0,Negative,Negative
32,27,1,Negative,Positive
32,28,0,Positive,Positive
32,29,1,Positive,Negative
32,30,1,Negative,Negative
32,31,0,Negative,Positive
32,32,1,Positive,Positive
33,1,0,Positive,Positive
33,2,0,Positive,Negative
33,3,0,Negative,Negative
33,4,1,Negative,Positive
33,5,0,Positive,Positive
33,6,1,Positive,Negative
33,7,1,Negative,Negative
33,8,1,Negative,Positive
33,9,0,Positive,Positive
33,10,1,Positive,Negative
33,11,1,Negative,Negative
33,12,0,Negative,Positive
33,13,1,Positive,Positive
33,14,0,Positive,Negative
33,15,1,Negative,Negative
33,16,0,Negative,Positive
33,17,1,Positive,Positive
33,18,1,Positive,Negative
33,19,1,Negative,Negative
33,20,1,Negative,Positive
33,21,1,Positive,Positive
33,22,1,Positive,Negative
33,23,0,Negative,Negative
33,24,1,Negative,Positive
33,25,0,Positive,Positive
33,26,0,Positive,Negative
33,27,1,Negative,Negative
33,28,1,Negative,Positive
33,29,0,Positive,Positive
33,30,1,Positive,Negative
33,31,0,Negative,Negative
33,32,1,Negative,Positive
34,1,0,Positive,Positive
34,2,1,Positive,Negative
34,3,0,Negative,Negative
34,4,0,Negative,Positive
34,5,1,Positive,Positive
34,6,0,Positive,Negative
34,7,0,Negative,Negative
34,8,0,Negative,Positive
34,9,0,Positive,Positive
34,10,0,Positive,Negative
34,11,0,Negative,Negative
34,12,0,Negative,Positive
34,13,0,Positive,Positive
34,14,0,Positive,Negative
34,15,0,Negative,Negative
34,16,0,Negative,Positive
34,17,0,Positive,Positive
34,18,0,Positive,Negative
34,19,0,Negative,Negative
34,20,0,Negative,Positive
34,21,0,Positive,Positive
34,22,1,Positive,Negative
34,23,0,Negative,Negative
34,24,0,Negative,Positive
34,25,0,Positive,Positive
34,26,0,Positive,Negative
34,27,0,Negative,Negative
34,28,1,Negative,Positive
34,29,0,Positive,Positive
34,30,0,Positive,Negative
34,31,0,Negative,Negative
34,32,0,Negative,Positive
35,1,0,Negative,Positive
35,2,0,Positive,Positive
35,3,1,Positive,Negative
35,4,0,Negative,Negative
35,5,0,Negative,Positive
35,6,0,Positive,Positive
35,7,0,Positive,Negative
35,8,0,Negative,Negative
35,9,0,Negative,Positive
35,10,0,Positive,Positive
35,11,0,Positive,Negative
35,12,0,Negative,Negative
35,13,0,Negative,Positive
35,14,0,Positive,Positive
35,15,0,Positive,Negative
35,16,0,Negative,Negative
35,17,0,Negative,Positive
35,18,0,Positive,Positive
35,19,1,Positive,Negative
35,20,0,Negative,Negative
35,21,0,Negative,Positive
35,22,0,Positive,Positive
35,23,0,Positive,Negative
35,24,0,Negative,Negative
35,25,0,Negative,Positive
35,26,0,Positive,Positive
35,27,0,Positive,Negative
35,28,1,Negative,Negative
35,29,0,Negative,Positive
35,30,0,Positive,Positive
35,31,0,Positive,Negative
35,32,0,Negative,Negative
36,1,0,Negative,Positive
36,2,0,Positive,Positive
36,3,0,Positive,Negative
36,4,0,Negative,Negative
36,5,0,Negative,Positive
36,6,0,Positive,Positive
36,7,0,Positive,Negative
36,8,0,Negative,Negative
36,9,0,Negative,Positive
36,10,0,Positive,Positive
36,11,0,Positive,Negative
36,12,0,Negative,Negative
36,13,0,Negative,Positive
36,14,0,Positive,Positive
36,15,1,Positive,Negative
36,16,0,Negative,Negative
36,17,0,Negative,Positive
36,18,0,Positive,Positive
36,19,0,Positive,Negative
36,20,0,Negative,Negative
36,21,0,Negative,Positive
36,22,0,Positive,Positive
36,23,0,Positive,Negative
36,24,0,Negative,Negative
36,25,0,Negative,Positive
36,26,0,Positive,Positive
36,27,0,Positive,Negative
36,28,0,Negative,Negative
36,29,1,Negative,Positive
36,30,0,Positive,Positive
36,31,0,Positive,Negative
36,32,0,Negative,Negative
37,1,0,Negative,Negative
37,2,0,Negative,Positive
37,3,0,Positive,Positive
37,4,0,Positive,Negative
37,5,0,Negative,Negative
37,6,0,Negative,Positive
37,7,0,Positive,Positive
37,8,0,Positive,Negative
37,9,0,Negative,Negative
37,10,0,Negative,Positive
37,11,0,Positive,Positive
37,12,1,Positive,Negative
37,13,1,Negative,Negative
37,14,0,Negative,Positive
37,15,1,Positive,Positive
37,16,0,Positive,Negative
37,17,0,Negative,Negative
37,18,0,Negative,Positive
37,19,1,Positive,Positive
37,20,1,Positive,Negative
37,21,1,Negative,Negative
37,22,1,Negative,Positive
37,23,1,Positive,Positive
37,24,0,Positive,Negative
37,25,1,Negative,Negative
37,26,1,Negative,Positive
37,27,0,Positive,Positive
37,28,1,Positive,Negative
37,29,0,Negative,Negative
37,30,0,Negative,Positive
37,31,1,Positive,Positive
37,32,0,Positive,Negative
38,1,0,Negative,Negative
38,2,0,Negative,Positive
38,3,0,Positive,Positive
38,4,0,Positive,Negative
38,5,0,Negative,Negative
38,6,0,Negative,Positive
38,7,0,Positive,Positive
38,8,0,Positive,Negative
38,9,0,Negative,Negative
38,10,0,Negative,Positive
38,11,0,Positive,Positive
38,12,0,Positive,Negative
38,13,0,Negative,Negative
38,14,0,Negative,Positive
38,15,0,Positive,Positive
38,16,0,Positive,Negative
38,17,0,Negative,Negative
38,18,0,Negative,Positive
38,19,0,Positive,Positive
38,20,0,Positive,Negative
38,21,0,Negative,Negative
38,22,0,Negative,Positive
38,23,0,Positive,Positive
38,24,0,Positive,Negative
38,25,0,Negative,Negative
38,26,0,Negative,Positive
38,27,0,Positive,Positive
38,28,0,Positive,Negative
38,29,0,Negative,Negative
38,30,0,Negative,Positive
38,31,0,Positive,Positive
38,32,0,Positive,Negative
39,1,1,Positive,Negative
39,2,0,Negative,Negative
39,3,0,Negative,Positive
39,4,1,Positive,Positive
39,5,1,Positive,Negative
39,6,1,Negative,Negative
39,7,0,Negative,Positive
39,8,0,Positive,Positive
39,9,1,Positive,Negative
39,10,1,Negative,Negative
39,11,1,Negative,Positive
39,12,0,Positive,Positive
39,13,1,Positive,Negative
39,14,0,Negative,Negative
39,15,0,Negative,Positive
39,16,0,Positive,Positive
39,17,1,Positive,Negative
39,18,0,Negative,Negative
39,19,1,Negative,Positive
39,20,1,Positive,Positive
39,21,1,Positive,Negative
39,22,0,Negative,Negative
39,23,0,Negative,Positive
39,24,0,Positive,Positive
39,25,1,Positive,Negative
39,26,1,Negative,Negative
39,27,1,Negative,Positive
39,28,1,Positive,Positive
39,29,1,Positive,Negative
39,30,0,Negative,Negative
39,31,0,Negative,Positive
39,32,1,Positive,Positive
40,1,0,Positive,Negative
40,2,1,Negative,Negative
40,3,0,Negative,Positive
40,4,0,Positive,Positive
40,5,1,Positive,Negative
40,6,1,Negative,Negative
40,7,0,Negative,Positive
40,8,0,Positive,Positive
40,9,1,Positive,Negative
40,10,0,Negative,Negative
40,11,0,Negative,Positive
40,12,1,Positive,Positive
40,13,1,Positive,Negative
40,14,0,Negative,Negative
40,15,0,Negative,Positive
40,16,0,Positive,Positive
40,17,NA,Positive,Negative
40,18,0,Negative,Negative
40,19,0,Negative,Positive
40,20,1,Positive,Positive
40,21,1,Positive,Negative
40,22,0,Negative,Negative
40,23,0,Negative,Positive
40,24,0,Positive,Positive
40,25,0,Positive,Negative
40,26,1,Negative,Negative
40,27,0,Negative,Positive
40,28,1,Positive,Positive
40,29,0,Positive,Negative
40,30,1,Negative,Negative
40,31,1,Negative,Positive
40,32,1,Positive,Positive
